Type,Square Item,Square Variation,Square SKU,Shopify Product,Details,Score
multi-variant-match,Kundalini Sherbet (Hybrid - 30.35% THCA),7 Grams,9739330,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Kundalini Sherbet (Hybrid - 30.35% THCA),14 Grams,G622315,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Kundalini Sherbet (Hybrid - 30.35% THCA),28 Grams,A749346,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
weak-item-match,Jelly Drip (Hybrid - 31.76% THCA),,"903242Y,T518052,V060182,6938575",,Helium (indica - 31.76% THCA),0.38
weak-item-match,Blue Cookies Live Resin (Hybrid - 74.54% THCA),,"4699431,G586225,716984E,K218542",,"""Liquid Flower"" THCA Live Resin Disposable Vape",0.25
weak-item-match,Strawnana Live Resin (Hybrid - 72.18% THCA),,"1828436,4169627,N672532,T831518",,"""Liquid Flower"" THCA Live Resin Disposable Vape",0.27
weak-item-match,Straw Jack Live Resin (Sativa - 72.59% THCA),,"Y455995,Q278739,D803201,6043457",,Trop Z Live Resin (Sativa - 81.35% THCA),0.36
weak-item-match,White Bubba Live Resin (Indica - 74.38% THCA),,"Q319853,1167093,4751371,793635B",,Orange Cheesecake Live Resin (Indica - 86.13% THCA),0.33
weak-item-match,Royal Kush (Hybrid - 18.2% THCa),,"2966538,R832327,J621807,K295929",,Blockberry (Hybrid - 25.42% THCA),0.25
weak-item-match,Grape Cream (Hybrid - 30.52%THCA),,"1991788,413143V,S979370,369061N",,Kundalini Sherbet (Hybrid - 30.64% THCA),0.33
weak-item-match,Gorilla Glue #4 (Hybrid - 25.79% THCA),,"N127283,S190056,5613166,636231Y",,Blockberry (Hybrid - 25.42% THCA),0.38
weak-item-match,Headband OG (Hybrid - 23.21% THCA),,"826040Q,1967303,426097V,C021813",,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),0.27
weak-item-match,White Widow (Hybrid - 26.62% THCA),,"1223490,955579Q,P065513,8826415",,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),0.27
weak-item-match,Zkittlez Tier 1 Live Rosin (Hybrid 78.29% THCA),,"1424144,388062Y",,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),0.33
weak-item-match,GMO x Government Oasis Tier 2 Live Rosin (Indica - 77.78% THCA),,"8017305,388062y-2",,Benzina Tier 2 Rosin (Indica - 63.51% THCA),0.31
weak-item-match,Moroccan Peaches Tier 2 Live Rosin (Hybrid - 75.34% THCA),,"6052145,9955794",,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),0.31
weak-item-match,Blackberry Maple Tier 1 Live Rosin (Indica - 71.70% THCA),,"8470211,G349053",,Benzina Tier 2 Rosin (Indica - 63.51% THCA),0.33
weak-item-match,White Widow (Hybrid - 26.62% THCA),,"640568H,987342H,F733128,7106766",,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),0.27
weak-item-match,GMO Crasher (Hybrid - 33.28% THCA),,"R450339,1038540,P556389,6118178",,Giraffe Pussy (Hybrid - 28.50% THCA),0.33
weak-item-match,Gelatti Live Resin,,"5314997,R887867,8489084,662814A",,"""Liquid Flower"" THCA Live Resin Disposable Vape",0.25
weak-item-match,AdaptoBites CBD,,930163A,,CBD Pet Treats,0.25
weak-item-match,Mermaid Tail (Hybrid - 31.13% THCA),,"N934783,1465064,621248E,696080T",,Kryptonite (Hybrid - 31.68% THCA),0.38
weak-item-match,Blue Lotus Sleep Gummy,,T509173,,Blue Lotus Sweet Dream Sleep Gummies - 5MG Melatonin - THC & CBD FREE,0.25
weak-item-match,Mac 1 (Hybrid- 29.76% THCA),,"347230J,908141D,A003475,N367786",,Upgrade (Indica -  29.76% THCA),0.43
weak-item-match,Candy Jack (Sativa- 23.20% THCA),,"X867925,W899885,Y925349,9122716",,Candy Zativa Orbit (Sativa - 31.42% THCA),0.3
