Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ALIGN,"1,000mg CBD Broad Spectrum Lavender & Eucalyptus Topical Balm",Regular,689745640568,0,via SKU,1.0
ALIGN,"1,200mg CBD + CBG Skin Repair Lotion",Regular,689745640711,0,via SKU,1.0
ALIGN,100MG Nerdz Clusterz,1 ct,NERDZ,0,via SKU,1.0
ALIGN,100MG Nerdz Clusterz,50 ct,H553853,0,via SKU,1.0
ALIGN,10mg THC + CBD Gummy Fruit Slices,3 Count,10mg-thc-cbd-gummy-fruit-slices-3-count,0,via SKU,1.0
ALIGN,10mg THC + CBD Gummy Fruit Slices,10 Count,689745640926,0,via SKU,1.0
ALIGN,10mg THC + CBD Gummy Fruit Slices,20 Count,689745640919,0,via SKU,1.0
ALIGN,10mg THC + CBD Gummy Fruit Slices,100 Count,10mg-thc-cbd-gummy-fruit-slices-100-coun,0,via SKU,1.0
ALIGN,250mg CBD Healthy Pet Broad Spectrum Tincture - THC FREE,Default Title,689745640520,0,via SKU,1.0
ALIGN,"3,500 CBD + CBG Menthol Warming Relief Roll-On",Regular,689745640698,0,via SKU,1.0
ALIGN,3G Diamond Distillate Vape THC FREE,Regular,5433029,0,via SKU,1.0
ALIGN,41 Kings (Indica - 26.31% THCA),3.5 Grams,K239116,0,via SKU,1.0
ALIGN,41 Kings (Indica - 26.31% THCA),7 Grams,8041858,0,via SKU,1.0
ALIGN,41 Kings (Indica - 26.31% THCA),14 Grams,Q097725,0,via SKU,1.0
ALIGN,41 Kings (Indica - 26.31% THCA),28 Grams,4813185,0,via SKU,1.0
ALIGN,5mg THC Coco-Zen Chocolate Squares,2 Count,cocozen2,0,via SKU,1.0
ALIGN,5mg THC Coco-Zen Chocolate Squares,8 Count,cocozen8,0,via SKU,1.0
ALIGN,AdaptoBar,Regular,X465192,0,via SKU,1.0
ALIGN,AdaptoBites 5mg,Regular,211357M,0,via SKU,1.0
ALIGN,AdaptoBites CBD,Regular,930163A,0,via SKU,1.0
ALIGN,AdaptoBites Functional,Regular,C764564,0,via SKU,1.0
ALIGN,AdaptoJam,Regular,369733S,0,via SKU,1.0
